Id_solicitud,messolictud,Default_60dias_12meses,tipo_casa,edad,fec_ing_empleo,antg_max_tc,meses_pasivo_12,ingreso,mto_lin_cred_sistemafinanciero,mto_deuda_prom_sistemafinanciero,zon_geo,max_clas_riesg,nivel_educ
39,200901,0,FAMILIAR,26,20/02/2004,16,12,4380.68,6485,1849.47,Arequipa,1,TECNICO
40,200901,1,FAMILIAR,26,01/01/2005,0,8,1800,0,7860.95,Loreto,0,TECNICO
41,200901,1,FAMILIAR,32,01/04/2004,36,12,1200,1909.87,6006.99,Arequipa,0,TECNICO
42,200901,0,PROPIA,64,01/01/1961,123,0,23300,69814.12,7713.08,Junin,1,PROFESIONAL
43,200901,0,PROPIA,34,01/11/2004,97,12,10000,44500,3236.83,Apurimac,0,PROFESIONAL
44,200901,1,FAMILIAR,31,29/05/2006,0,12,744.16,2650,1542.89,Lima,2,TECNICO
45,200901,0,FAMILIAR,32,02/03/2003,40,11,2555,13406.8,106.25,Lambayeque,1,PROFESIONAL
46,200901,0,PROPIA,37,01/05/1997,89,12,5444,11956.19,0,La Libertad,1,PROFESIONAL
47,200901,1,FAMILIAR,44,03/01/2005,9,9,4370,16659.05,52191.48,La Libertad,0,PROFESIONAL
48,200901,1,PROPIA,32,01/11/1997,12,6,3500,998.53,701.15,Moquegua,0,PROFESIONAL
49,200901,1,FAMILIAR,55,01/12/1973,0,12,2703.18,0,0,Junin,1,EDUCACION BASICA
50,200901,1,PROPIA,35,01/08/2003,40,12,4571,10506.1,43378.47,Lima,3,PROFESIONAL
51,200901,1,FAMILIAR,34,01/11/2004,0,12,8945,1273.52,0,Lima,1,PROFESIONAL
52,200901,0,PROPIA,35,01/06/1998,0,12,5000,21332.43,0,Lima,0,PROFESIONAL
53,200901,1,FAMILIAR,23,01/06/2006,11,12,2100,500,482.22,Loreto,0,PROFESIONAL
54,200901,0,PROPIA,41,01/03/1991,44,7,9520,14218.41,0,Lima,0,PROFESIONAL
55,200901,0,OTRAS,37,01/01/1999,0,12,1815.42,1643,421.33,Lima,1,PROFESIONAL
56,200901,1,PROPIA,38,01/05/2005,48,7,6095,50749.67,57094.38,Lima,1,TECNICO
57,200901,0,FAMILIAR,31,01/02/2005,3,12,3495.94,7800,3669.69,Arequipa,0,TECNICO
58,200901,1,PROPIA,52,01/01/1980,4,10,5500,10000,40133.71,Arequipa,1,PROFESIONAL
59,200901,1,FAMILIAR,25,01/02/2000,35,8,9200,25584.13,5593.75,Lima,0,PROFESIONAL
60,200901,0,FAMILIAR,45,01/04/2006,22,12,2000,3790,538.33,Lima,0,PROFESIONAL
61,200901,1,FAMILIAR,28,01/01/2007,7,12,2500,5900,11718.32,Lima,0,PROFESIONAL
62,200901,1,PROPIA,64,01/03/2002,0,11,7000,0,0,Lima,0,PROFESIONAL
63,200901,1,PROPIA,49,01/04/2005,0,12,915.83,2360,2814.4,Piura,1,TECNICO
64,200901,1,FAMILIAR,26,01/11/2002,34,12,1200,6526.56,2800,Lima,1,PROFESIONAL
65,200901,1,FAMILIAR,35,01/06/2002,0,12,1600,8374.84,1141.17,Callao,1,PROFESIONAL
66,200901,0,FAMILIAR,35,01/02/2006,41,12,3000,3900.25,0,Lima,2,PROFESIONAL
67,200901,1,PROPIA,39,04/08/2006,0,9,707.62,0,2681.11,Piura,0,TECNICO
68,200901,1,PROPIA,48,01/10/2002,0,2,3500,6960.79,39220.86,Lima,1,TECNICO
69,200901,1,FAMILIAR,32,27/12/2006,12,12,2985.8,7590,6972.69,Junin,0,TECNICO
70,200901,1,FAMILIAR,37,01/03/2001,0,12,1800,0,5493.71,Lima,0,TECNICO
71,200901,1,FAMILIAR,49,01/08/2005,31,12,5601,21938.92,2118.53,Lima,1,PROFESIONAL
72,200901,0,FAMILIAR,47,01/01/2000,20,12,2100,685.9,0,Lima,1,TECNICO
73,200901,0,FAMILIAR,40,01/04/1998,101,12,7500,49159.37,1120.6,Lima,2,PROFESIONAL
74,200901,1,FAMILIAR,48,01/11/2005,86,10,12450,5557.89,4104.49,Lima,0,PROFESIONAL
75,200901,1,FAMILIAR,30,11/04/2006,0,12,3540.79,0,25786.76,Lima,4,PROFESIONAL
76,200901,0,FAMILIAR,32,26/11/2005,9,12,964.17,2258.74,761.47,Lima,1,TECNICO
77,200901,0,FAMILIAR,42,01/05/2006,17,12,1400,1450,6301.63,Lima,0,PROFESIONAL
78,200901,1,FAMILIAR,36,01/01/1995,20,12,4000,7030,3229.24,Lima,2,PROFESIONAL
79,200901,0,FAMILIAR,49,01/01/2000,95,12,27000,23236.86,9546.91,Lima,0,PROFESIONAL
80,200901,1,PROPIA,35,01/09/2006,67,12,18265,8200,3322.52,Lambayeque,1,PROFESIONAL
81,200901,1,PROPIA,50,26/09/2007,13,12,620.13,3703,2297.47,Lima,0,TECNICO
82,200901,1,PROPIA,32,25/05/2006,0,12,2099.28,5612.71,935.89,Lima,0,TECNICO
83,200901,1,FAMILIAR,38,01/05/2000,0,12,2800,0,0,La Libertad,0,PROFESIONAL
84,200901,1,PROPIA,34,06/08/2005,42,12,3256.32,4760,6720.4,Lambayeque,2,PROFESIONAL
85,200902,1,FAMILIAR,30,01/01/2007,8,0,1900,8264.75,465.78,Lima,0,PROFESIONAL
86,200902,1,PROPIA,44,22/08/1994,0,12,1536.25,1800,639.04,Callao,0,TECNICO
87,200902,0,FAMILIAR,38,01/05/2005,8,12,2639.35,5800,5.59,Lima,1,PROFESIONAL
88,200902,1,FAMILIAR,33,01/05/2007,12,10,738.4,500,3456.96,Callao,1,TECNICO
89,200902,1,PROPIA,37,01/04/2008,8,12,3250,2500,2608.17,Lima,4,PROFESIONAL
90,200902,1,FAMILIAR,52,01/08/2001,13,12,2200,4344.67,819.63,Lima,1,PROFESIONAL
91,200902,1,PROPIA,34,01/01/2001,21,12,6200,2794.99,1098.38,Lima,2,TECNICO
92,200902,1,FAMILIAR,31,11/09/2003,27,12,684.82,0,1909.5,Ica,0,TECNICO
93,200902,1,OTRAS,46,26/04/2004,0,12,2400,0,2215.46,Junin,0,TECNICO
94,200902,1,PROPIA,41,01/09/1992,33,12,2013.57,251.57,0,Lima,0,PROFESIONAL
95,200902,1,FAMILIAR,34,01/12/2006,0,12,1109.08,1250,9939.37,Lima,0,TECNICO
96,200902,1,FAMILIAR,29,01/05/2004,21,12,1400,926.4,388.73,Lima,1,PROFESIONAL
97,200902,1,FAMILIAR,21,01/06/2005,0,6,750,0,1.36,Lima,0,SUPERIOR
98,200902,0,FAMILIAR,31,01/06/2005,8,12,1300,1850,1471.32,Lima,0,SUPERIOR
99,200902,1,PROPIA,38,01/05/2004,0,12,1400,0,1939.22,Huanuco,0,TECNICO
100,200902,1,PROPIA,30,01/06/2001,93,12,4000,1603.16,2825.42,Lima,0,PROFESIONAL
101,200902,1,FAMILIAR,35,01/05/2006,0,10,7800,0,0,Lima,0,PROFESIONAL
102,200902,0,FAMILIAR,43,01/08/2001,0,12,4010,16121.07,0,Lima,0,PROFESIONAL
103,200902,1,FAMILIAR,48,01/10/2006,98,12,13150,47993.03,6125.32,Lima,1,PROFESIONAL
104,200902,0,PROPIA,34,01/11/2001,78,12,12429,44185.6,0,Lima,1,PROFESIONAL
105,200902,1,FAMILIAR,50,01/03/1991,16,0,1200,4962.41,0,Lima,1,PROFESIONAL
106,200902,1,PROPIA,38,02/01/2007,0,12,981.74,0,479.75,Lima,0,TECNICO
107,200902,1,FAMILIAR,24,05/06/2007,17,1,6500,2090,15.77,Lambayeque,1,PROFESIONAL
108,200902,0,PROPIA,46,01/02/2001,69,12,1946,6668.53,21108.62,Lima,0,PROFESIONAL
109,200902,1,FAMILIAR,30,01/04/2003,43,12,2800,3000,4153.48,Lima,0,TECNICO
110,200902,1,FAMILIAR,39,01/01/2003,13,12,2000,2442.68,0,Lima,0,PROFESIONAL
111,200902,1,FAMILIAR,21,01/01/2005,0,12,1500,0,0,Arequipa,0,PROFESIONAL
112,200902,1,FAMILIAR,36,01/06/2004,0,12,800,36266.08,0,Lima,1,PROFESIONAL
113,200902,1,FAMILIAR,33,01/06/2001,52,12,2500,3770.74,6647.03,Lima,1,PROFESIONAL
114,200902,0,FAMILIAR,27,03/04/2006,0,12,1032.6,4295.86,127,Lima,0,TECNICO
115,200902,1,FAMILIAR,36,01/11/2000,0,12,2545.53,0,0,Pasco,0,EDUCACION BASICA
116,200902,1,FAMILIAR,30,06/06/2004,0,12,1500,0,1499.4,Junin,0,TECNICO
117,200902,0,FAMILIAR,39,01/09/2003,101,12,1900,10036.75,1073.02,Lima,3,PROFESIONAL
118,200902,1,FAMILIAR,48,01/06/2002,0,12,6800,27742.7,0,Lima,1,PROFESIONAL
119,200902,1,PROPIA,28,01/01/2007,7,12,700,900,2244.15,Lima,0,TECNICO
120,200902,0,FAMILIAR,46,01/01/2006,10,12,6000,6350,0,Arequipa,0,PROFESIONAL
121,200902,1,FAMILIAR,31,01/10/2006,10,12,2100,3570,8567.67,Lima,0,PROFESIONAL
122,200902,0,PROPIA,24,01/01/2007,20,12,2100,2080,2426.15,Lima,2,SUPERIOR
123,200902,1,FAMILIAR,52,01/01/1986,0,0,1500,24.8,1349.22,Lima,0,TECNICO
124,200902,1,FAMILIAR,57,01/06/1981,0,12,5000,9760,0,Lima,1,TECNICO
125,200902,1,FAMILIAR,50,01/09/2006,115,12,12000,121543.4,57094.38,Lima,0,PROFESIONAL
126,200902,0,FAMILIAR,38,01/01/2006,9,7,1350,5505.04,389.15,Lima,0,SUPERIOR
127,200902,0,FAMILIAR,52,01/10/1974,39,12,4000,3027.78,0,Lima,0,TECNICO
128,200902,1,FAMILIAR,26,01/01/2003,33,12,3300,14498.53,3714.33,Lima,0,PROFESIONAL
129,200902,1,FAMILIAR,23,01/06/2005,27,12,3500,1917.55,4588.04,Lima,3,PROFESIONAL
130,200902,1,FAMILIAR,31,01/01/2000,0,4,5300,33022.22,57094.38,Callao,0,PROFESIONAL
131,200902,1,FAMILIAR,29,01/08/2002,17,12,636.98,1600,334.37,Ica,0,TECNICO
132,200902,1,FAMILIAR,52,01/04/2002,10,12,4500,0,7203.22,Cajamarca,0,PROFESIONAL
133,200902,0,FAMILIAR,29,01/11/2004,14,12,5600,251.77,340.72,Junin,0,SUPERIOR
134,200902,0,PROPIA,61,01/01/1986,80,12,30000,5721.39,1777.08,Lima,0,PROFESIONAL
135,200902,0,PROPIA,42,01/04/1994,108,12,30000,111661,28818.74,Arequipa,3,PROFESIONAL
136,200902,1,FAMILIAR,38,01/11/2004,49,1,1500,290.02,3827.15,Lima,1,PROFESIONAL
137,200902,0,FAMILIAR,34,01/07/2001,60,12,10500,55365.09,779.09,Lima,1,PROFESIONAL
138,200902,0,FAMILIAR,36,01/05/1997,0,12,2500,0,7574.82,Ancash,0,TECNICO
139,200902,1,FAMILIAR,37,01/02/1996,0,0,750,2165.09,0,Piura,0,TECNICO
140,200902,1,PROPIA,60,01/04/2005,28,12,30000,0,30979.59,Piura,0,PROFESIONAL
141,200902,0,FAMILIAR,32,01/07/2006,0,12,1874.7,8445,5747.96,La Libertad,0,PROFESIONAL
142,200902,0,PROPIA,53,01/01/2004,118,7,6370,60730,243.22,Lima,1,PROFESIONAL
143,200902,1,PROPIA,30,01/03/2002,24,12,1381,1182.09,2500,Lima,0,TECNICO
144,200902,0,PROPIA,31,01/09/2005,12,12,5396.35,4812.59,642.29,Lima,0,PROFESIONAL
145,200902,1,FAMILIAR,41,01/06/1998,95,2,3509,42111.72,7649.36,Lima,0,PROFESIONAL
146,200902,0,FAMILIAR,32,01/11/2002,29,12,4000,1565.31,16.38,Arequipa,0,PROFESIONAL
147,200902,0,FAMILIAR,39,01/03/1993,92,12,6500,9045.68,5428.86,Lima,0,PROFESIONAL
148,200902,1,PROPIA,44,01/03/2008,12,12,9525,12470.45,19459.86,Lima,1,PROFESIONAL
149,200902,1,FAMILIAR,40,01/12/2004,11,12,2000,1882.39,0,Lima,1,PROFESIONAL
150,200902,1,PROPIA,23,01/11/2007,0,12,1201.6,0,6962.45,Lima,0,TECNICO
151,200902,1,PROPIA,40,01/05/2006,0,12,1890.11,0,8390.52,Junin,0,TECNICO
152,200902,1,FAMILIAR,50,01/03/1999,0,12,2100,0,0,Arequipa,0,SUPERIOR
153,200902,1,PROPIA,44,01/03/2003,0,12,1001.75,0,4907.23,Lima,0,TECNICO
154,200902,0,FAMILIAR,24,01/03/2005,0,12,1084.18,0,4420.64,Ica,0,TECNICO
155,200902,0,FAMILIAR,49,01/01/2003,0,12,2184.26,3250,1172.95,Lima,0,TECNICO
156,200902,1,FAMILIAR,45,01/09/2002,7,12,4000,2116.13,0,Lima,0,PROFESIONAL
157,200902,0,FAMILIAR,58,01/09/2005,118,12,6000,49338.4,0,Lima,0,PROFESIONAL
158,200902,1,FAMILIAR,42,01/09/2003,31,1,1700,12961.56,0,Lima,0,TECNICO
159,200902,1,FAMILIAR,42,01/01/2001,10,12,1150,0,1488.57,Lima,0,TECNICO
160,200902,0,FAMILIAR,57,01/01/2000,90,12,30000,59260.1,23714.45,Lima,0,SIN EDUCACION
161,200902,1,FAMILIAR,32,01/07/1999,0,12,2000,3974.52,1792.02,Lima,1,TECNICO
162,200902,1,FAMILIAR,30,01/12/2002,24,12,800,708.8,0,Lima,0,TECNICO
163,200902,1,FAMILIAR,32,01/04/2003,18,12,3380,7978.44,1214.58,Lima,1,PROFESIONAL
164,200902,1,FAMILIAR,40,20/01/2007,0,11,2743.5,0,1821.21,Callao,0,EDUCACION BASICA
165,200902,1,FAMILIAR,27,01/05/2003,15,12,2545,2685.49,591.14,La Libertad,2,PROFESIONAL
166,200902,1,PROPIA,36,01/08/2002,11,12,1300,4312.72,1464.58,Piura,1,TECNICO
167,200902,0,FAMILIAR,36,01/01/2001,30,12,2100,0,9594.57,Lima,1,TECNICO
168,200902,0,FAMILIAR,44,01/07/2000,24,12,3050,0,6451.61,Cuzco,0,PROFESIONAL
169,200902,1,FAMILIAR,25,01/06/2006,0,12,946.95,0,2348.36,Lima,0,PROFESIONAL
170,200902,0,FAMILIAR,27,01/06/2005,21,12,2000,2000,7010.49,Lima,0,PROFESIONAL
171,200902,1,PROPIA,28,13/07/2006,12,12,1002.39,500,2196.74,Ucayali,0,SUPERIOR
172,200902,0,PROPIA,45,01/01/1999,79,12,8300,10613.65,0,Lima,0,PROFESIONAL
173,200902,1,PROPIA,40,01/02/2005,20,12,3900,9080.84,5629.67,La Libertad,0,PROFESIONAL
174,200902,1,FAMILIAR,40,01/07/2006,8,12,1522.24,6539.35,3361.33,Piura,0,TECNICO
175,200902,1,FAMILIAR,29,28/10/2003,0,12,981.26,0,2668.53,Tumbes,4,PROFESIONAL
176,200902,1,FAMILIAR,39,18/09/2007,94,12,3500,4500,5880.93,Lima,0,PROFESIONAL
177,200902,1,FAMILIAR,24,07/05/2007,0,12,2146.48,300,10681.7,San Martin,0,TECNICO
178,200902,1,FAMILIAR,30,28/06/2006,12,12,691.05,1000,529.21,Ica,0,TECNICO
179,200902,1,PROPIA,41,01/10/1993,75,11,1450,28349.23,1530.38,La Libertad,1,PROFESIONAL
180,200903,1,FAMILIAR,29,02/05/2006,16,0,3500,8995.6,0,Lima,0,SUPERIOR
181,200903,0,PROPIA,40,01/05/1990,0,0,3100,0,0,Ancash,4,PROFESIONAL
182,200903,1,FAMILIAR,28,01/07/2006,52,7,3590,12723.02,315.29,Lima,1,PROFESIONAL
183,200903,0,FAMILIAR,32,01/06/2000,0,0,4000,10290.7,57094.38,Lima,1,PROFESIONAL
184,200903,0,FAMILIAR,52,01/09/1989,116,12,2500,38980,7375.4,Lima,1,TECNICO
185,200903,1,PROPIA,32,01/01/2005,26,12,7650,25305.44,1560.34,Callao,0,PROFESIONAL
186,200903,0,PROPIA,44,01/11/1997,35,12,30000,12090.83,5317.93,Lima,0,SUPERIOR
187,200903,0,PROPIA,46,01/01/2000,39,12,2100,2136.45,0,Lima,0,PROFESIONAL
188,200903,1,FAMILIAR,48,01/05/2006,21,12,6000,27900,13227.33,Callao,0,PROFESIONAL
189,200903,1,PROPIA,29,02/11/2005,9,12,1229.49,3960,1359.81,Lima,0,TECNICO
190,200903,1,FAMILIAR,31,01/11/2005,0,12,1131.76,400,6420.92,Lima,4,PROFESIONAL
191,200903,1,PROPIA,27,01/10/2001,38,12,5600,24058.91,12280.95,Cuzco,1,PROFESIONAL
192,200903,0,FAMILIAR,43,01/05/2001,101,12,6000,38300,2884.61,Lima,0,PROFESIONAL
193,200903,1,FAMILIAR,45,01/04/2002,12,12,2850,4000,4730.14,Arequipa,1,TECNICO
194,200903,1,PROPIA,41,01/05/2005,43,6,2300,29250,2660.14,Lima,0,PROFESIONAL
195,200903,0,FAMILIAR,29,01/11/2003,14,1,1500,10485.64,502.97,Lima,0,PROFESIONAL
196,200903,0,FAMILIAR,24,01/04/2007,10,10,827.67,2800,1215.48,La Libertad,0,TECNICO
197,200903,1,FAMILIAR,31,01/05/2000,1,12,2000,10451.26,5577.19,Lima,2,PROFESIONAL
198,200903,0,ALQUILADA,33,01/02/2000,42,12,4103.59,6871.96,2293.01,Ancash,0,PROFESIONAL
199,200903,1,PROPIA,36,01/09/2004,14,12,978,1760,5954.25,Lima,0,TECNICO
200,200903,1,FAMILIAR,32,01/05/2002,0,8,4000,9680,5161.85,Lima,0,PROFESIONAL
201,200903,1,PROPIA,32,01/01/2003,40,12,4840,8573.02,3857.12,Lima,3,PROFESIONAL
202,200903,0,FAMILIAR,26,01/06/2000,3,12,1500,2376,1252.5,Callao,0,TECNICO
203,200903,0,FAMILIAR,63,01/05/2002,0,12,1500,18628.1,0,Lima,1,TECNICO
204,200903,1,PROPIA,31,01/09/2000,0,12,2300,1840,3633.54,La Libertad,0,TECNICO
205,200903,1,FAMILIAR,32,01/01/1990,81,12,15500,50709.01,0,Callao,0,PROFESIONAL
206,200903,1,FAMILIAR,32,01/07/2007,19,12,3508.25,9000,24438.84,Arequipa,0,PROFESIONAL
207,200903,1,PROPIA,31,01/11/2007,6,12,799.77,500,2198.09,Lima,0,TECNICO
208,200903,1,PROPIA,50,01/06/1982,76,12,9120,21990.37,6484.68,Callao,4,PROFESIONAL
209,200903,1,FAMILIAR,41,01/04/2002,32,12,2000,4033.99,2203.04,Lima,0,PROFESIONAL
210,200903,1,ALQUILADA,37,01/01/2004,25,12,14000,0,12140.75,Lima,0,PROFESIONAL
211,200903,1,FAMILIAR,50,01/01/2000,0,12,2100,4130.68,0,La Libertad,1,TECNICO
212,200903,1,FAMILIAR,23,01/10/2005,23,12,1200,10673.5,877.39,Lima,0,PROFESIONAL
213,200903,1,PROPIA,48,01/01/1993,80,12,5000,0.09,57094.38,Lambayeque,0,TECNICO
214,200903,1,PROPIA,28,01/05/2007,9,12,1115.09,2310,2192.55,Lima,0,TECNICO
215,200903,1,FAMILIAR,35,01/09/2005,0,12,3500,100,1.18,Piura,0,TECNICO
216,200903,0,PROPIA,52,01/04/1974,63,12,3100,744.01,309.75,Arequipa,1,TECNICO
217,200903,0,FAMILIAR,28,01/01/2008,3,12,2900,12805,1297.4,Lima,0,PROFESIONAL
218,200903,1,PROPIA,29,01/04/2005,0,12,1800,0,9561.31,Loreto,0,TECNICO
219,200903,0,FAMILIAR,28,01/10/2006,21,12,3500,6000,311.59,Lima,0,PROFESIONAL
220,200903,0,PROPIA,42,01/07/1999,92,12,12021,12929.51,3942.57,Lima,2,PROFESIONAL
221,200903,1,FAMILIAR,53,01/07/1993,52,12,6400,45690.4,15803.37,La Libertad,0,PROFESIONAL
222,200903,1,FAMILIAR,30,01/06/1999,49,5,8979,0,14045.3,Lima,3,EDUCACION BASICA
223,200903,1,FAMILIAR,25,01/01/2000,8,9,2100,3229.05,3423.91,La Libertad,4,SUPERIOR
224,200903,1,FAMILIAR,31,02/01/2006,18,11,1338,3390.53,0,Lima,0,TECNICO
225,200903,0,FAMILIAR,40,01/05/2001,47,12,3680,1210.8,866.89,Lima,1,TECNICO
226,200903,1,FAMILIAR,36,01/05/2001,42,12,1600,9642.7,2135.98,Lima,1,TECNICO
227,200903,1,PROPIA,42,01/10/2007,29,12,858.14,0,1610.16,Callao,0,TECNICO
228,200903,0,FAMILIAR,21,01/10/2007,15,12,850,2600,5189.55,Lima,2,SUPERIOR
229,200903,0,FAMILIAR,54,01/01/1985,107,12,2100,9887.07,12058.06,Lima,0,PROFESIONAL
230,200903,0,FAMILIAR,28,20/09/2005,0,12,1812.8,0,7697.47,La Libertad,0,TECNICO
231,200903,1,FAMILIAR,30,21/08/2007,0,12,2833.55,8743.5,18447.66,Lima,2,TECNICO
232,200903,1,FAMILIAR,53,01/11/1991,23,12,10000,35095.5,680.74,Lima,1,PROFESIONAL
233,200903,1,FAMILIAR,36,01/04/2002,15,12,750,399.91,0,Lima,1,TECNICO
234,200903,0,PROPIA,56,01/03/1999,0,12,2690,0,0,Junin,0,TECNICO
235,200903,1,FAMILIAR,57,01/02/1975,2,12,9000,0,0,Lima,0,TECNICO
236,200903,1,FAMILIAR,25,22/11/2006,0,9,889.98,0,875.13,Ica,0,TECNICO
237,200903,0,FAMILIAR,42,01/05/2000,75,12,20000,7382.04,623.59,Junin,2,PROFESIONAL
238,200903,0,FAMILIAR,33,01/05/2007,10,12,2800,14304.04,2477.97,Lima,0,PROFESIONAL
239,200903,1,FAMILIAR,28,16/04/2007,12,6,2300,4970.02,1894.01,Loreto,0,PROFESIONAL
240,200903,1,ALQUILADA,21,01/11/2004,23,12,3250,774.5,21.41,Lima,0,SUPERIOR
241,200903,1,FAMILIAR,51,01/06/2002,0,12,1028.63,0,4849.98,La Libertad,0,TECNICO
242,200903,1,FAMILIAR,23,01/03/2004,16,12,750,0,2101.72,Lima,0,TECNICO
243,200903,0,FAMILIAR,49,01/01/1990,8,12,4400,207.96,1398.16,Lima,0,PROFESIONAL
244,200903,1,FAMILIAR,31,01/08/2003,4,11,1400,3715.43,5245.43,Callao,1,PROFESIONAL
245,200903,1,FAMILIAR,26,01/01/2003,10,12,2100,5100.91,773.23,Lima,0,PROFESIONAL
246,200903,1,FAMILIAR,30,01/01/1999,40,12,4200,10328.43,1950.74,Lima,2,PROFESIONAL
247,200903,1,PROPIA,44,01/01/2006,50,12,1353.34,19026.36,5236.54,Lima,0,PROFESIONAL
248,200903,1,FAMILIAR,46,01/05/2006,0,12,3500,300,9984.53,Piura,0,PROFESIONAL
249,200903,1,FAMILIAR,37,01/01/1999,44,12,1600,20750,4833.46,Callao,0,PROFESIONAL
250,200903,1,PROPIA,51,01/12/1997,15,12,21600,121543.4,4043.69,Lima,0,PROFESIONAL
251,200903,1,PROPIA,21,29/05/2006,0,12,915.77,0,4522.48,Lima,0,TECNICO
252,200903,0,PROPIA,35,01/11/2001,0,12,5250,3129.53,0,Lima,0,PROFESIONAL
253,200903,1,FAMILIAR,26,01/11/2004,0,12,3350,4032.52,0,Lima,0,PROFESIONAL
254,200903,0,PROPIA,45,01/03/1990,0,12,15000,40263.5,0,Lima,2,PROFESIONAL
255,200903,0,ALQUILADA,37,01/05/2005,38,12,1200,278.75,2160.67,Lima,0,PROFESIONAL
256,200903,0,PROPIA,30,01/04/2000,12,12,15246,20177.78,1311.81,Lima,0,PROFESIONAL
257,200903,1,PROPIA,36,01/01/2007,0,12,3300,0,2293.6,Ancash,0,PROFESIONAL
258,200903,1,FAMILIAR,29,01/12/2006,0,12,1629.74,0,4429.46,Junin,0,TECNICO
259,200903,1,FAMILIAR,36,01/04/2006,12,11,746.16,2580,2016.02,Lima,2,TECNICO
