ANIO,Mes,Semana,TIPO,CADENA,TIENDA_CLIENTE,TIENDA_NOMBRECRONOGRAMA,MODELO_NOMBRECLIENTE,Modelo Corto,SAP,Vta_Unid,PVP,Venta_Soles,CLIENTE
2024,Enero,W001,PISO,METRO,S034,METRO PURUCHUCO ATE,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,COCINA FLORENCIA ZAFIRO CROMA,Florencia,30000845,1,1399,1399,METRO
2024,Enero,W001,PISO,METRO,S089,METRO SANTA CLARA,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,2,1099,2198,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,REFRIGERADORA RI-359,RI-359,10008999,2,1099,2198,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,H008,METRO CANADA,REFRIG INDURAMA RI-389D QUARZO CROMA,RI-389D,10008597,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,COCINA PARMA ZAFIRO CROMA,Parma,30000787,1,999,999,METRO
2024,Enero,W001,PISO,METRO,S001,METRO LA MOLINA,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,6,1099,6594,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,COCINA INDURAMA GALICIA ZAFIRO CROMA,Galicia,30000789,1,1299,1299,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,COCINA PARMA ZAFIRO CROMA,Parma,30000787,2,999,1998,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,3,849,2547,METRO
2024,Enero,W001,PISO,METRO,S097,METRO SUPERMERCADO METRO TUMBES,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,1,599,599,METRO
2024,Enero,W001,PISO,METRO,S055,METRO PACIFICO,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,1,599,599,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,1,1249,1249,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,REFRIGERADORA RI-359,RI-359,10008999,2,1099,2198,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,REFRIG INDURAMA RI-389 QUARZO CROMA,RI-389,10008596,2,1049,2098,METRO
2024,Enero,W001,PISO,METRO,S014,METRO VENTANILLA,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H006,METRO SJL LA HACIENDA,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H014,METRO PLAZA NORTE,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,2,849,1698,METRO
2024,Enero,W001,PISO,METRO,H005,METRO SAN MIGUEL LA MARINA,COCINA GRANADA ZAFIRO TLL CROMA,Granada,30001053,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,H013,METRO INDEPENDENCIA IZAGUIRRE,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,2,849,1698,METRO
2024,Enero,W001,PISO,METRO,S028,METRO PROCERES,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,2,559,1118,METRO
2024,Enero,W001,PISO,METRO,H011,METRO COMAS PASCANA,REFRIGERADORA INDURAMA RI-289D,RI-289D,10014231,1,849,849,METRO
2024,Enero,W001,PISO,METRO,S051,METRO TRUJILLO PENTA AMERICA,REFRIGERADORA RI-359,RI-359,10008999,1,1099,1099,METRO
2024,Enero,W001,PISO,METRO,S010,METRO SJM ATOCONGO,COCINA PARMA ZAFIRO CROMA,Parma,30000787,2,999,1998,METRO
2024,Enero,W001,PISO,METRO,S062,METRO AREQUIPA CERRO COLORADO,COCINA INDURAMA GOYA 4 HORNILLAS NEGRO,Goya,10008541,1,599,599,METRO
2024,Enero,W001,PISO,METRO,S062,METRO AREQUIPA CERRO COLORADO,COCINA MILAN ZAFIRO CROMA,Milan,30000180,1,899,899,METRO
2024,Enero,W001,PISO,METRO,S089,METRO SANTA CLARA,COCINA INDURAMA FONTANA SPAZIO 3 GRIS,Fontana,10008540,1,559,559,METRO
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,CONGELADOR CI-420BL,CI-420BL,10010070,1,1699,1699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,COCINA ROMA ZAFIRO CROMA,Roma,30000794,2,1849,3698,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,Cocina Indurama Monteca Zafiro Croma 5 Q.,Montecarlo,30000780,1,2399,2399,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,REFRIGERADORA RI-389D,RI-389D,10008597,4,1174,4696,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,Cocina Indurama Parma Zafiro Croma 6 Q.,Parma,30000787,1,1299,1299,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,3,1882,5647,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,649,649,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,COCINA INDURAMA FONTANA GRIS,Fontana,10008540,1,559,559,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,RI-289D,RI-289D,10014231,2,779,1558,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,REFRIGERADORA RI-359,RI-359,10008999,3,932,2797,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC101,OECHSLE HUANCAYO REAL,COCINA GRANADA ZAFIRO CROMA,Granada,30001053,1,1099,1099,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC104,OECHSLE ICA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC104,OECHSLE ICA,COCINA INDURAMA FONTANA GRIS,Fontana,10008540,1,559,559,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC104,OECHSLE ICA,Cocina Indurama Parma Zafiro Croma 6 Q.,Parma,30000787,2,1299,2598,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC104,OECHSLE ICA,RI-289D,RI-289D,10014231,2,794,1588,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC104,OECHSLE ICA,REFRIGERADORA RI-359,RI-359,10008999,3,899,2697,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC105,OECHSLE AREQUIPA REAL PLAZA,COCINA ROMA ZAFIRO CROMA,Roma,30000794,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC105,OECHSLE AREQUIPA REAL PLAZA,COCINA IBIZA ZAFIRO CROMA,Ibiza,30000839,1,1709,1709,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC105,OECHSLE AREQUIPA REAL PLAZA,Cocina Indurama Parma Zafiro Croma 6 Q.,Parma,30000787,1,1299,1299,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC105,OECHSLE AREQUIPA REAL PLAZA,RI-289D,RI-289D,10014231,4,739,2956,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC105,OECHSLE AREQUIPA REAL PLAZA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,2,1899,3798,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,649,649,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,REFRIGERADORA RI-389D,RI-389D,10008597,1,1099,1099,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,COCINA INDURAMA CORUÑA QZ CROMA,Coruña,30001098,1,899,899,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,COCINA ROMA ZAFIRO CROMA,Roma,30000794,2,1849,3698,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,RI-289D,RI-289D,10014231,2,740,1479,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC110,OECHSLE JULIACA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1851,1851,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,Cocina Indurama Parma Zafiro Croma 6 Q.,Parma,30000787,1,1299,1299,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,COCINA IBIZA ZAFIRO CROMA,Ibiza,30000839,1,1800,1800,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,649,649,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,COCINA GRANADA ZAFIRO CROMA,Granada,30001053,1,1099,1099,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,RI-289D,RI-289D,10014231,2,779,1558,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC117,OECHSLE CUSCO,REFRIGERADORA RI-359,RI-359,10008999,4,962,3846,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC103,OECHSLE CENTRO CIVICO,COCINA INDURAMA FONTANA GRIS,Fontana,10008540,1,559,559,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC103,OECHSLE CENTRO CIVICO,COCINA IND VARESE ZFO CROMA C30 PER,Varese,30000796,1,1699,1699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC103,OECHSLE CENTRO CIVICO,RI-289D,RI-289D,10014231,3,766,2297,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC108,OECHSLE PRIMAVERA REAL,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC109,OECHSLE PLAZA NORTE,RI-289D,RI-289D,10014231,1,739,739,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC109,OECHSLE PLAZA NORTE,REFRIGERADORA RI-359,RI-359,10008999,3,932,2797,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC109,OECHSLE PLAZA NORTE,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,649,649,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC109,OECHSLE PLAZA NORTE,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,3,1916,5747,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC111,OECHSLE SAN BORJA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC111,OECHSLE SAN BORJA,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,599,599,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC121,OECHSLE SALAVERRY,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1851,1851,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC126,OECHSLE MALL DEL SUR,CAMPANA EXTRACTORA CEI-902CRP,CEI-90CR,10008496,1,439,439,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC126,OECHSLE MALL DEL SUR,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,2,1849,3698,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC128,OECHSLE REAL PLAZA LA CURVA,REFRIGERADORA RI-359,RI-359,10008999,2,948,1897,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC132,OECHSLE PURUCHUCO,REFRIGERADORA RI-359,RI-359,10008999,4,974,3896,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC132,OECHSLE PURUCHUCO,RI-289D,RI-289D,10014231,2,814,1628,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC132,OECHSLE PURUCHUCO,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,549,549,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC132,OECHSLE PURUCHUCO,COCINA TORINO ZAFIRO CROMA,Torino,30000921,1,699,699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,REFRIGERADORA RI-359,RI-359,10008999,1,899,899,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,RI-289D,RI-289D,10014231,1,848,848,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,RI-769 No Frost Croma 428 L,RI-769,10008522,3,1599,4797,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,REFRIGERADORA RI-389D,RI-389D,10008597,3,1166,3498,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,1,649,649,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,COCINA INDURAMA CORUÑA QZ CROMA,Coruña,30001098,3,899,2697,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,2,1949,3898,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,CONGELADOR CI-420BL,CI-420BL,10010070,1,1699,1699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC138,OECHSLE SAN JUAN DE LURIGANCHO,REFRIGERADORA RI-639DN,RI-639DN,10012167,2,1799,3598,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,RI-289D,RI-289D,10014231,1,739,739,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,COCINA INDURAMA FONTANA GRIS,Fontana,10008540,1,559,559,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,CONGELADOR CI-420BL,CI-420BL,10010070,1,1699,1699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,RI-769 No Frost Croma 428 L,RI-769,10008522,3,1566,4698,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC114,OECHSLE BARRANCA,COCINA ROMA ZAFIRO CROMA,Roma,30000794,1,1849,1849,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,18,1910,34382,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,RI-289D,RI-289D,10014231,4,744,2976,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,Cocina Indurama Parma Zafiro Croma 6 Q.,Parma,30000787,1,1299,1299,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,FRIGOBAR RI-159 CROMA,RI-159CR,10008535,3,583,1748,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,COCINA MATISSE GRIS,Matisse,10008813,3,686,2059,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,RI-769 No Frost Croma 428 L,RI-769,10008522,9,1552,13968,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,COCINA INDURAMA CATALUÑA QZ CROMA,Cataluña,30001136,1,1224,1224,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,COCINA ROMA ZAFIRO CROMA,Roma,30000794,1,1849,1849,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,CONGELADOR CI-320GR,CI-320CR,10008729,1,1299,1299,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,EXTRACTOR DE JUGOS INDURAMA EI-CR 1.1L,EI-CR,10008554,3,169,507,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,CONGELADOR CI-320BL,CI-320BL,10008728,1,1199,1199,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,REFRIGERADORA RI-359,RI-359,10008999,11,942,10364,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,REFRIGERADORA RI-389D,RI-389D,10008597,4,1099,4396,OECHSLE
2024,Enero,W001,WEB,OECHSLE,OEC204,OECHSLE TIENDA VIRTUAL,CONGELADOR CI-220BL,CI-220BL,10009699,3,933,2800,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC102,OECHSLE TRUJILLO REAL PLAZA,CONGELADOR CI-220BL,CI-220BL,10009699,1,949,949,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC102,OECHSLE TRUJILLO REAL PLAZA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,1,1849,1849,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC102,OECHSLE TRUJILLO REAL PLAZA,RI-289D,RI-289D,10014231,1,739,739,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC102,OECHSLE TRUJILLO REAL PLAZA,REFRIGERADORA RI-359,RI-359,10008999,3,932,2797,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,CONGELADOR CI-320GR,CI-320CR,10008729,2,1299,2598,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,RI-289D,RI-289D,10014231,3,752,2257,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,COCINA MATISSE GRIS,Matisse,10008813,2,699,1398,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,COCINA INDURAMA FONTANA GRIS,Fontana,10008540,1,559,559,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,COCINA IBIZA ZAFIRO CROMA,Ibiza,30000839,1,1800,1800,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,REFRIGERADORA RI-359,RI-359,10008999,5,1039,5196,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,REFRIGERADORA RI-389D,RI-389D,10008597,1,1099,1099,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,CONGELADOR CI-420BL,CI-420BL,10010070,1,1699,1699,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC113,OECHSLE PIURA REAL PLAZA,REFRIGERADORA RI-788D CROMA,RI-788D,10008888,4,1912,7646,OECHSLE
2024,Enero,W001,PISO,OECHSLE,OEC119,OECHSLE CHICLAYO,CONGELADOR CI-320GR,CI-320CR,10008729,2,1299,2598,OECHSLE
